SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status,accepted_kew_id,accepted_name,reviewed
AB029375.1,Actaea cimicifuga,64032,genomic DNA,1810,Actaea cimicifuga,707994-1,Ranunculaceae,Actaea,cimicifuga,,Actaea cimicifuga,SPECIES,Accepted,,,
AB029376.1,Actaea heracleifolia,64034,genomic DNA,1810,Actaea heracleifolia,1002904-1,Ranunculaceae,Actaea,heracleifolia,,Actaea heracleifolia,SPECIES,Accepted,,,
AB029377.1,Actaea dahurica,64029,genomic DNA,1810,Actaea dahurica,707999-1,Ranunculaceae,Actaea,dahurica,,Actaea dahurica,SPECIES,Accepted,,,
AB029378.1,Actaea nanchuanensis,99285,genomic DNA,1810,Actaea nanchuanensis,77154844-1,Ranunculaceae,Actaea,nanchuanensis,,Actaea nanchuanensis,SPECIES,Accepted,,,
AB029379.1,Actaea yunnanensis,64043,genomic DNA,1810,Actaea yunnanensis,1002882-1,Ranunculaceae,Actaea,yunnanensis,,Actaea yunnanensis,SPECIES,Accepted,,,
AB029380.1,Actaea brachycarpa,64028,genomic DNA,1810,Actaea brachycarpa,1002885-1,Ranunculaceae,Actaea,brachycarpa,,Actaea brachycarpa,SPECIES,Accepted,,,
AB029381.1,Actaea japonica,64035,genomic DNA,1810,Actaea japonica,708008-1,Ranunculaceae,Actaea,japonica,,Actaea japonica,SPECIES,Accepted,,,
AB029382.1,Actaea japonica,64035,genomic DNA,1810,Actaea japonica,708008-1,Ranunculaceae,Actaea,japonica,,Actaea japonica,SPECIES,Accepted,,,
AB080243.1,Panax vietnamensis var. fuscidiscus,187454,genomic DNA,1809,Panax vietnamensis var. fuscidiscus,70027633-1,Araliaceae,Panax,vietnamensis,fuscidiscus,Panax vietnamensis var. fuscidiscus,VARIETY,Accepted,,,
AB080244.1,Panax vietnamensis var. fuscidiscus,187454,genomic DNA,1512,Panax vietnamensis var. fuscidiscus,70027633-1,Araliaceae,Panax,vietnamensis,fuscidiscus,Panax vietnamensis var. fuscidiscus,VARIETY,Accepted,,,
AB080245.1,Eleutherococcus senticosus,82096,genomic DNA,1808,Eleutherococcus senticosus,90431-1,Araliaceae,Eleutherococcus,senticosus,,Eleutherococcus senticosus,SPECIES,Accepted,,,
AB080246.1,Eleutherococcus senticosus,82096,genomic DNA,1518,Eleutherococcus senticosus,90431-1,Araliaceae,Eleutherococcus,senticosus,,Eleutherococcus senticosus,SPECIES,Accepted,,,
AB107895.1,Austrotaxus spicata,89478,genomic DNA,1732,Austrotaxus spicata,828264-1,Taxaceae,Austrotaxus,spicata,,Austrotaxus spicata,SPECIES,Accepted,,,
AB107896.1,Taxus baccata,25629,genomic DNA,1733,Taxus baccata,306036-2,Taxaceae,Taxus,baccata,,Taxus baccata,SPECIES,Accepted,,,
AB107897.1,Wollemia nobilis,56998,genomic DNA,1700,Wollemia nobilis,986236-1,Araucariaceae,Wollemia,nobilis,,Wollemia nobilis,SPECIES,Accepted,,,
AB107898.1,Metasequoia glyptostroboides,3371,genomic DNA,1732,Metasequoia glyptostroboides,828387-1,Cupressaceae,Metasequoia,glyptostroboides,,Metasequoia glyptostroboides,SPECIES,Accepted,,,
AB115773.1,Cunninghamia lanceolata,28977,genomic DNA,1697,Cunninghamia lanceolata,676725-1,Cupressaceae,Cunninghamia,lanceolata,,Cunninghamia lanceolata,SPECIES,Accepted,,,
AB120309.1,Camellia sinensis,4442,rRNA,1800,Camellia sinensis,828548-1,Theaceae,Camellia,sinensis,,Camellia sinensis,SPECIES,Accepted,,,
AB163440.1,Mitella acerina,100319,genomic DNA,1730,Mitella acerina,791943-1,Saxifragaceae,Mitella,acerina,,Mitella acerina,SPECIES,Accepted,,,
AB163538.1,Mitella integripetala,242210,genomic DNA,1723,Mitella integripetala,791957-1,Saxifragaceae,Mitella,integripetala,,Mitella integripetala,SPECIES,Accepted,,,
AB163539.1,Mitella nuda,40798,genomic DNA,1672,Mitella nuda,791967-1,Saxifragaceae,Mitella,nuda,,Mitella nuda,SPECIES,Accepted,,,
AB163540.1,Mitella acerina,100319,genomic DNA,1738,Mitella acerina,791943-1,Saxifragaceae,Mitella,acerina,,Mitella acerina,SPECIES,Accepted,,,
AB163541.1,Mitella stylosa var. makinoi,242204,genomic DNA,1724,Mitella stylosa var. makinoi,891140-1,Saxifragaceae,Mitella,stylosa,makinoi,Mitella stylosa var. makinoi,VARIETY,Accepted,,,
AB163542.1,Mitella kiusiana,242207,genomic DNA,1726,Mitella kiusiana,791961-1,Saxifragaceae,Mitella,kiusiana,,Mitella kiusiana,SPECIES,Accepted,,,
AB163543.1,Mitella pauciflora,100322,genomic DNA,1721,Mitella pauciflora,791973-1,Saxifragaceae,Mitella,pauciflora,,Mitella pauciflora,SPECIES,Accepted,,,
AB233528.1,Camptostylus mannii,179727,genomic DNA,1736,Camptostylus mannii,365027-1,Achariaceae,Camptostylus,mannii,,Camptostylus mannii,SPECIES,Accepted,,,
AB233529.1,Ceratiosicyos laevis,212226,genomic DNA,1736,Ceratiosicyos laevis,56878-1,Achariaceae,Ceratiosicyos,laevis,,Ceratiosicyos laevis,SPECIES,Accepted,,,
AB233530.1,Dasylepis brevipedicellata,344432,genomic DNA,1736,Dasylepis brevipedicellata,111549-1,Achariaceae,Dasylepis,racemosa,,Dasylepis racemosa,SPECIES,Synonym,,,
AB233531.1,Kiggelaria africana,112821,genomic DNA,1736,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,Kiggelaria africana,SPECIES,Accepted,,,
AB233532.1,Balanops pancheri,344426,genomic DNA,1734,Balanops pancheri,103175-1,Balanopaceae,Balanops,pancheri,,Balanops pancheri,SPECIES,Accepted,,,
AB233533.1,Euphronia guianensis,82261,genomic DNA,1736,Euphronia guianensis,724860-1,Euphroniaceae,Euphronia,guianensis,,Euphronia guianensis,SPECIES,Accepted,,,
AB233534.1,Licania elaeosperma,212235,genomic DNA,1736,Licania elaeosperma,720235-1,Chrysobalanaceae,Afrolicania,elaeosperma,,Afrolicania elaeosperma,SPECIES,Homotypic_Synonym,,,
AB233535.1,Parinari sp. Mlangwa et al. 1138,212233,genomic DNA,1736,Parinari sp. Mlangwa et al. 1138,33939-1,Chrysobalanaceae,Parinari,sp.,,Parinari sp.,GENUS,Accepted,,,
AB233536.1,Trigonia boliviana,212261,genomic DNA,1736,Trigonia boliviana,871012-1,Trigoniaceae,Trigonia,boliviana,,Trigonia boliviana,SPECIES,Accepted,,,
AB233537.1,Clusia rosea,156476,genomic DNA,1714,Clusia rosea,61583-2,Clusiaceae,Clusia,rosea,,Clusia rosea,SPECIES,Accepted,,,
AB233538.1,Garcinia subelliptica,212238,genomic DNA,1714,Garcinia subelliptica,428254-1,Clusiaceae,Garcinia,subelliptica,,Garcinia subelliptica,SPECIES,Accepted,,,
AB233539.1,Montrouziera sphaeroidea,198781,genomic DNA,1736,Montrouziera sphaeroidea,428879-1,Clusiaceae,Montrouziera,sphaeroidea,,Montrouziera sphaeroidea,SPECIES,Accepted,,,
AB233540.1,Symphonia tanalensis,344444,genomic DNA,1736,Symphonia tanalensis,429298-1,Clusiaceae,Symphonia,tanalensis,,Symphonia tanalensis,SPECIES,Accepted,,,
AB233541.1,Elatine triandra,256093,genomic DNA,1736,Elatine triandra,89520-2,Elatinaceae,Elatine,triandra,,Elatine triandra,SPECIES,Accepted,,,
AB233542.1,Acalypha insulana,212272,genomic DNA,1736,Acalypha insulana,337500-1,Euphorbiaceae,Acalypha,insulana,,Acalypha insulana,SPECIES,Accepted,,,
AB233543.1,Adriana quadripartita,344422,genomic DNA,1736,Adriana quadripartita,338253-1,Euphorbiaceae,Adriana,quadripartita,,Adriana quadripartita,SPECIES,Accepted,,,
AB233544.1,Agrostistachys borneensis,212274,genomic DNA,1736,Agrostistachys borneensis,338288-1,Euphorbiaceae,Agrostistachys,borneensis,,Agrostistachys borneensis,SPECIES,Accepted,,,
AB233545.1,Caryodendron orinocense,316669,genomic DNA,1736,Caryodendron orinocense,340439-1,Euphorbiaceae,Caryodendron,orinocense,,Caryodendron orinocense,SPECIES,Accepted,,,
AB233546.1,Chaetocarpus africanus,316742,genomic DNA,1736,Chaetocarpus africanus,340502-1,Peraceae,Chaetocarpus,africanus,,Chaetocarpus africanus,SPECIES,Accepted,,,
AB233547.1,Chondrostylis kunstleri,344414,genomic DNA,1736,Chondrostylis kunstleri,340933-1,Euphorbiaceae,Chondrostylis,kunstleri,,Chondrostylis kunstleri,SPECIES,Accepted,,,
AB233548.1,Chrozophora oblongifolia,344429,genomic DNA,1736,Chrozophora oblongifolia,60464928-2,Euphorbiaceae,Chrozophora,oblongifolia,,Chrozophora oblongifolia,SPECIES,Accepted,,,
AB233550.1,Crotonogynopsis usambarica,316675,genomic DNA,1736,Crotonogynopsis usambarica,343811-1,Euphorbiaceae,Crotonogynopsis,usambarica,,Crotonogynopsis usambarica,SPECIES,Accepted,,,
AB233551.1,Dalechampia spathulata,212295,genomic DNA,1715,Dalechampia spathulata,1092397-2,Euphorbiaceae,Dalechampia,spathulata,,Dalechampia spathulata,SPECIES,Accepted,,,
AB233552.1,Dicoelia beccariana,319142,genomic DNA,1731,Dicoelia beccariana,344805-1,Phyllanthaceae,Dicoelia,beccariana,,Dicoelia beccariana,SPECIES,Accepted,,,
AB233553.1,Ditaxis montevidensis,344433,genomic DNA,1736,Ditaxis montevidensis,82537-2,Euphorbiaceae,Ditaxis,montevidensis,,Ditaxis montevidensis,SPECIES,Accepted,,,
AB233554.1,Macaranga tanarius,109849,genomic DNA,1736,Macaranga tanarius,351381-1,Euphorbiaceae,Macaranga,tanarius,,Macaranga tanarius,SPECIES,Accepted,,,
AB233555.1,Mercurialis leiocarpa,197602,genomic DNA,1736,Mercurialis leiocarpa,352199-1,Euphorbiaceae,Mercurialis,leiocarpa,,Mercurialis leiocarpa,SPECIES,Accepted,,,
AB233556.1,Necepsia afzelii,344416,genomic DNA,1736,Necepsia afzelii,352463-1,Euphorbiaceae,Necepsia,afzelii,,Necepsia afzelii,SPECIES,Accepted,,,
AB233557.1,Pera heteranthera,344441,genomic DNA,1736,Pera heteranthera,190005-2,Peraceae,Pera,heteranthera,,Pera heteranthera,SPECIES,Accepted,,,
AB233558.1,Pycnocoma cornuta,344442,genomic DNA,1736,Pycnocoma cornuta,355122-1,Euphorbiaceae,Pycnocoma,cornuta,,Pycnocoma cornuta,SPECIES,Accepted,,,
AB233559.1,Ricinus communis,3988,genomic DNA,1736,Ricinus communis,355498-1,Euphorbiaceae,Ricinus,communis,,Ricinus communis,SPECIES,Accepted,,,
AB233560.1,Romanoa tamnoides,316895,genomic DNA,1733,Romanoa tamnoides,355591-1,Euphorbiaceae,Romanoa,tamnoides,,Romanoa tamnoides,SPECIES,Accepted,,,
AB233561.1,Trigonopleura malayana,344419,genomic DNA,1733,Trigonopleura malayana,357974-1,Peraceae,Trigonopleura,malayana,,Trigonopleura malayana,SPECIES,Accepted,,,
AB233562.1,Adenocline acuta,344421,genomic DNA,1736,Adenocline acuta,338158-1,Euphorbiaceae,Adenocline,acuta,,Adenocline acuta,SPECIES,Accepted,,,
AB233563.1,Baloghia inophylla,316759,genomic DNA,1736,Baloghia inophylla,943159-1,Euphorbiaceae,Baloghia,inophylla,,Baloghia inophylla,SPECIES,Accepted,,,
AB233564.1,Codiaeum peltatum,212292,genomic DNA,1736,Codiaeum peltatum,943160-1,Euphorbiaceae,Codiaeum,peltatum,,Codiaeum peltatum,SPECIES,Accepted,,,
AB233565.1,Croton insularis,212293,genomic DNA,1734,Croton insularis,342726-1,Euphorbiaceae,Croton,insularis,,Croton insularis,SPECIES,Accepted,,,
AB233566.1,Fontainea venosa,316765,genomic DNA,1736,Fontainea venosa,906134-1,Euphorbiaceae,Fontainea,venosa,,Fontainea venosa,SPECIES,Accepted,,,
AB233567.1,Jatropha integerrima,316874,genomic DNA,1736,Jatropha integerrima,350290-1,Euphorbiaceae,Jatropha,integerrima,,Jatropha integerrima,SPECIES,Accepted,,,
AB233568.1,Manihot esculenta,3983,genomic DNA,1736,Manihot esculenta,351790-1,Euphorbiaceae,Manihot,esculenta,,Manihot esculenta,SPECIES,Accepted,,,
AB233569.1,Neoboutonia mannii,316725,genomic DNA,1736,Neoboutonia mannii,352471-1,Euphorbiaceae,Neoboutonia,mannii,,Neoboutonia mannii,SPECIES,Accepted,,,
AB233570.1,Schinziophyton rautanenii,212325,genomic DNA,1736,Schinziophyton rautanenii,947611-1,Euphorbiaceae,Schinziophyton,rautanenii,,Schinziophyton rautanenii,SPECIES,Accepted,,,
AB233571.1,Actinostemon concolor,344420,genomic DNA,1736,Actinostemon concolor,1187218-2,Euphorbiaceae,Actinostemon,concolor,,Actinostemon concolor,SPECIES,Accepted,,,
AB233572.1,Euphorbia humifusa,212301,genomic DNA,1736,Euphorbia humifusa,346840-1,Euphorbiaceae,Euphorbia,humifusa,,Euphorbia humifusa,SPECIES,Accepted,,,
AB233573.1,Excoecaria cochinchinensis,179682,genomic DNA,1709,Excoecaria cochinchinensis,348839-1,Euphorbiaceae,Excoecaria,cochinchinensis,,Excoecaria cochinchinensis,SPECIES,Accepted,,,
AB233574.1,Hura crepitans,99294,genomic DNA,1736,Hura crepitans,350060-1,Euphorbiaceae,Hura,crepitans,,Hura crepitans,SPECIES,Accepted,,,
AB233575.1,Pimelodendron griffithianum,212315,genomic DNA,1736,Pimelodendron griffithianum,77176667-1,Euphorbiaceae,Pimelodendron,griffithianum,,Pimelodendron griffithianum,SPECIES,Accepted,,,
AB233576.1,Euphorbia grantii,213049,genomic DNA,1736,Euphorbia grantii,346682-1,Euphorbiaceae,Euphorbia,grantii,,Euphorbia grantii,SPECIES,Accepted,,,
AB233578.1,Sacoglottis sp. Hammel 18390,212248,genomic DNA,1736,Sacoglottis sp. Hammel 18390,19674-1,Humiriaceae,Sacoglottis,sp.,,Sacoglottis sp.,GENUS,Accepted,,,
AB233579.1,Cratoxylum cochinchinense,271749,genomic DNA,1736,Cratoxylum cochinchinense,433054-1,Hypericaceae,Cratoxylum,cochinchinense,,Cratoxylum cochinchinense,SPECIES,Accepted,,,
AB233580.1,Irvingia malayana,85215,genomic DNA,1736,Irvingia malayana,813775-1,Irvingiaceae,Irvingia,malayana,,Irvingia malayana,SPECIES,Accepted,,,
AB233581.1,Ixonanthes reticulata,212250,genomic DNA,1736,Ixonanthes reticulata,544286-1,Ixonanthaceae,Ixonanthes,reticulata,,Ixonanthes reticulata,SPECIES,Accepted,,,
AB233582.1,Lacistema aggregatum,112829,genomic DNA,1733,Lacistema aggregatum,134457-2,Lacistemataceae,Lacistema,aggregatum,,Lacistema aggregatum,SPECIES,Accepted,,,
AB233583.1,Adenolinum lewisii,344169,genomic DNA,1730,Adenolinum lewisii,140855-2,Linaceae,Linum,lewisii,,Linum lewisii,SPECIES,Homotypic_Synonym,,,
AB233584.1,Sclerolinon digynum,344406,genomic DNA,1726,Sclerolinon digynum,544449-1,Linaceae,Linum,digynum,,Linum digynum,SPECIES,Homotypic_Synonym,,,
AB233585.1,Bunchosia hookeriana,344427,genomic DNA,1736,Bunchosia hookeriana,555918-1,Malpighiaceae,Bunchosia,hookeriana,,Bunchosia hookeriana,SPECIES,Accepted,,,
AB233586.1,Byrsonima crassifolia,4270,genomic DNA,1736,Byrsonima crassifolia,556033-1,Malpighiaceae,Byrsonima,crassifolia,,Byrsonima crassifolia,SPECIES,Accepted,,,
AB233587.1,Hiraea fagifolia,176642,genomic DNA,1736,Hiraea fagifolia,556804-1,Malpighiaceae,Hiraea,fagifolia,,Hiraea fagifolia,SPECIES,Accepted,,,
AB233588.1,Malpighia glabra,71611,genomic DNA,1720,Malpighia glabra,557048-1,Malpighiaceae,Malpighia,glabra,,Malpighia glabra,SPECIES,Accepted,,,
AB233589.1,Psychopterys rivularis,344438,genomic DNA,1723,Psychopterys rivularis,60447680-2,Malpighiaceae,Psychopterys,rivularis,,Psychopterys rivularis,SPECIES,Accepted,,,
AB233590.1,Stigmaphyllon diversifolium,212254,genomic DNA,1700,Stigmaphyllon diversifolium,557496-1,Malpighiaceae,Stigmaphyllon,diversifolium,,Stigmaphyllon diversifolium,SPECIES,Accepted,,,
AB233591.1,Tetrapterys glabrifolia,344445,genomic DNA,1727,Tetrapterys glabrifolia,557792-1,Malpighiaceae,Tetrapterys,tinifolia,,Tetrapterys tinifolia,SPECIES,Synonym,,,
AB233592.1,Galphimia glauca,212252,genomic DNA,1736,Galphimia glauca,556347-1,Malpighiaceae,Galphimia,glauca,,Galphimia glauca,SPECIES,Accepted,,,
AB233593.1,Tristellateia australasiae,344447,genomic DNA,1731,Tristellateia australasiae,557928-1,Malpighiaceae,Tristellateia,australasiae,,Tristellateia australasiae,SPECIES,Accepted,,,
AB233594.1,Diporidium greveanum,344408,genomic DNA,1736,Diporidium greveanum,606677-1,Ochnaceae,Ochna,macrantha,,Ochna macrantha,SPECIES,Synonym,,,
AB233595.1,Campylospermum serratum,344410,genomic DNA,1736,Campylospermum serratum,975825-1,Ochnaceae,Campylospermum,serratum,,Campylospermum serratum,SPECIES,Accepted,,,
AB233596.1,Ochna serrulata,56634,genomic DNA,1701,Ochna serrulata,606778-1,Ochnaceae,Ochna,serrulata,,Ochna serrulata,SPECIES,Accepted,,,
AB233597.1,Sauvagesia africana,344443,genomic DNA,1736,Sauvagesia africana,607444-1,Ochnaceae,Sauvagesia,africana,,Sauvagesia africana,SPECIES,Accepted,,,
AB233598.1,Galearia filiformis,179684,genomic DNA,1736,Galearia filiformis,349137-1,Pandaceae,Galearia,filiformis,,Galearia filiformis,SPECIES,Accepted,,,
AB233599.1,Adenia sp. Tokuoka 261,212333,genomic DNA,1712,Adenia sp. Tokuoka 261,31727-1,Passifloraceae,Adenia,sp.,,Adenia sp.,GENUS,Accepted,,,
AB233600.1,Passiflora quadrangularis,3685,genomic DNA,1715,Passiflora quadrangularis,675390-1,Passifloraceae,Passiflora,quadrangularis,,Passiflora quadrangularis,SPECIES,Accepted,,,
AB233601.1,Piriqueta cistoides,73825,genomic DNA,1736,Piriqueta cistoides,30068867-2,Passifloraceae,Piriqueta,cistoides,,Piriqueta cistoides,SPECIES,Accepted,,,
AB233602.1,Antidesma pentandrum,344423,genomic DNA,1736,Antidesma pentandrum,77167483-1,Phyllanthaceae,Antidesma,montanum,montanum,Antidesma montanum var. montanum,VARIETY,Synonym,,,
AB233603.1,Aporosa papuana,344424,genomic DNA,1736,Aporosa papuana,339257-1,Phyllanthaceae,Aporosa,papuana,,Aporosa papuana,SPECIES,Accepted,,,
AB233604.1,Astrocasia tremula,344425,genomic DNA,1736,Astrocasia tremula,25896-2,Phyllanthaceae,Astrocasia,tremula,,Astrocasia tremula,SPECIES,Accepted,,,
AB233605.1,Bischofia javanica,210340,genomic DNA,1736,Bischofia javanica,339921-1,Phyllanthaceae,Bischofia,javanica,,Bischofia javanica,SPECIES,Accepted,,,
AB233606.1,Breynia cernua,212284,genomic DNA,1736,Breynia cernua,340066-1,Phyllanthaceae,Breynia,cernua,,Breynia cernua,SPECIES,Accepted,,,
AB233607.1,Flueggea virosa,283121,genomic DNA,1736,Flueggea virosa,1013601-1,Phyllanthaceae,Flueggea,virosa,,Flueggea virosa,SPECIES,Accepted,,,
AB233608.1,Meineckia phyllanthoides subsp. somalensis,344439,genomic DNA,1736,Meineckia phyllanthoides subsp. somalensis,77188227-1,Phyllanthaceae,Meineckia,phyllanthoides,somalensis,Meineckia phyllanthoides subsp. somalensis,SUBSPECIES,Accepted,,,
AB233609.1,Phyllanthus flexuosus,296044,genomic DNA,1736,Phyllanthus flexuosus,353893-1,Phyllanthaceae,Phyllanthus,flexuosus,,Phyllanthus flexuosus,SPECIES,Accepted,,,
AB233610.1,Aristogeitonia monophylla,344412,genomic DNA,1736,Aristogeitonia monophylla,339493-1,Picrodendraceae,Aristogeitonia,monophylla,,Aristogeitonia monophylla,SPECIES,Accepted,,,
AB233611.1,Oldfieldia dactylophylla,212308,genomic DNA,1736,Oldfieldia dactylophylla,352541-1,Picrodendraceae,Oldfieldia,dactylophylla,,Oldfieldia dactylophylla,SPECIES,Accepted,,,
AB233612.1,Picrodendron baccatum,212329,genomic DNA,1711,Picrodendron baccatum,196005-2,Picrodendraceae,Picrodendron,baccatum,,Picrodendron baccatum,SPECIES,Accepted,,,
AB233613.1,Scagea oligostemon,212323,genomic DNA,1736,Scagea oligostemon,942341-1,Picrodendraceae,Scagea,oligostemon,,Scagea oligostemon,SPECIES,Accepted,,,
AB233614.1,Drypetes littoralis,344434,genomic DNA,1736,Drypetes littoralis,345091-1,Putranjivaceae,Drypetes,littoralis,,Drypetes littoralis,SPECIES,Accepted,,,
AB233615.1,Bruguiera gymnorhiza,39984,genomic DNA,1736,Bruguiera gymnorhiza,719532-1,Rhizophoraceae,Bruguiera,gymnorhiza,,Bruguiera gymnorhiza,SPECIES,Accepted,,,
AB233616.1,Carallia brachiata,61141,genomic DNA,1736,Carallia brachiata,719554-1,Rhizophoraceae,Carallia,brachiata,,Carallia brachiata,SPECIES,Accepted,,,
AB233617.1,Crossostylis grandiflora,61145,genomic DNA,1736,Crossostylis grandiflora,719724-1,Rhizophoraceae,Crossostylis,grandiflora,,Crossostylis grandiflora,SPECIES,Accepted,,,
AB233618.1,Erythroxylum novocaledonicum,212240,genomic DNA,1693,Erythroxylum novocaledonicum,337009-1,Erythroxylaceae,Erythroxylum,novocaledonicum,,Erythroxylum novocaledonicum,SPECIES,Accepted,,,
AB233619.1,Casearia sp. Tokuoka NC052,344428,genomic DNA,1703,Casearia sp. Tokuoka NC052,327084-2,Salicaceae,Casearia,sp.,,Casearia sp.,GENUS,Accepted,,,
AB233620.1,Dovyalis macrocalyx,312437,genomic DNA,1736,Dovyalis macrocalyx,111563-1,Salicaceae,Dovyalis,macrocalyx,,Dovyalis macrocalyx,SPECIES,Accepted,,,
AB233621.1,Flacourtia indica,210376,genomic DNA,1692,Flacourtia indica,365348-1,Salicaceae,Flacourtia,indica,,Flacourtia indica,SPECIES,Accepted,,,
AB233622.1,Homalium foetidum,344436,genomic DNA,1703,Homalium foetidum,779788-1,Salicaceae,Homalium,foetidum,,Homalium foetidum,SPECIES,Accepted,,,
AB233623.1,Idesia polycarpa,77057,genomic DNA,1728,Idesia polycarpa,111768-1,Salicaceae,Idesia,polycarpa,,Idesia polycarpa,SPECIES,Accepted,,,
AB233624.1,Lunania parviflora,312447,genomic DNA,1736,Lunania parviflora,779887-1,Salicaceae,Lunania,parviflora,,Lunania parviflora,SPECIES,Accepted,,,
AB233625.1,Scolopia spinosa,179717,genomic DNA,1736,Scolopia spinosa,112088-1,Salicaceae,Scolopia,spinosa,,Scolopia spinosa,SPECIES,Accepted,,,
AB233626.1,Xylosma congesta,344448,genomic DNA,1703,Xylosma congesta,366060-1,Salicaceae,Xylosma,congesta,,Xylosma congesta,SPECIES,Accepted,,,
AB233627.1,Agation deplanchei,344171,genomic DNA,1735,Agation deplanchei,866189-1,Violaceae,Agatea,longipedicellata,,Agatea longipedicellata,SPECIES,Synonym,,,
AB233628.1,Pombalia communis,344404,genomic DNA,1736,Pombalia communis,77143552-1,Violaceae,Pombalia,communis,,Pombalia communis,SPECIES,Accepted,,,
AB233629.1,Orthion subsessile,212270,genomic DNA,1734,Orthion subsessile,176712-2,Violaceae,Orthion,subsessile,,Orthion subsessile,SPECIES,Accepted,,,
AB233631.1,Oxalis corniculata,212256,genomic DNA,1735,Oxalis corniculata,177893-2,Oxalidaceae,Oxalis,corniculata,,Oxalis corniculata,SPECIES,Accepted,,,
AB268066.1,Cheilosa montana,398611,genomic DNA,1736,Cheilosa montana,340901-1,Euphorbiaceae,Cheilosa,montana,,Cheilosa montana,SPECIES,Accepted,,,
AB268067.1,Neoscortechinia forbesii,398635,genomic DNA,1736,Neoscortechinia forbesii,352506-1,Euphorbiaceae,Neoscortechinia,forbesii,,Neoscortechinia forbesii,SPECIES,Accepted,,,
AB268068.1,Neoscortechinia kingii,124833,genomic DNA,1736,Neoscortechinia kingii,352507-1,Euphorbiaceae,Neoscortechinia,kingii,,Neoscortechinia kingii,SPECIES,Accepted,,,
