SeqID,Ini_Species,TaxID,mol_type,length,Ini_sciname,kew_id,family,genus,species,infraspecies,sci_name,rank,taxonomic_status
AB234773.1,Chrysanthemum rupestre,344873,genomic DNA,452,Chrysanthemum rupestre,261067-1,Asteraceae,Xylanthemum,fisherae,,Xylanthemum fisherae,SPECIES,Synonym
AB234774.1,Chrysanthemum weyrichii,344874,genomic DNA,452,Chrysanthemum weyrichii,77179720-1,Asteraceae,Chrysanthemum,zawadzkii,zawadzkii,Chrysanthemum zawadzkii subsp. zawadzkii,SUBSPECIES,Synonym
AB234775.1,Arctanthemum arcticum,99030,genomic DNA,452,Arctanthemum arcticum,77179831-1,Asteraceae,Chrysanthemum,arcticum,arcticum,Chrysanthemum arcticum subsp. arcticum,SUBSPECIES,Synonym
AB234776.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234777.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234778.1,Chrysanthemum boreale,344871,genomic DNA,452,Chrysanthemum boreale,252568-1,Asteraceae,Tanacetum,vulgare,,Tanacetum vulgare,SPECIES,Synonym
AB234779.1,Chrysanthemum indicum,146995,genomic DNA,430,Chrysanthemum indicum,193510-1,Asteraceae,Chrysanthemum,indicum,,Chrysanthemum indicum,SPECIES,Accepted
AB234780.1,Chrysanthemum arisanense,344876,genomic DNA,430,Chrysanthemum arisanense,193303-1,Asteraceae,Chrysanthemum,arisanense,,Chrysanthemum arisanense,SPECIES,Accepted
AB234781.1,Chrysanthemum arisanense,344876,genomic DNA,425,Chrysanthemum arisanense,193303-1,Asteraceae,Chrysanthemum,arisanense,,Chrysanthemum arisanense,SPECIES,Accepted
AB234783.1,Nipponanthemum nipponicum,99084,genomic DNA,430,Nipponanthemum nipponicum,234480-1,Asteraceae,Nipponanthemum,nipponicum,,Nipponanthemum nipponicum,SPECIES,Accepted
AB237066.1,Corylopsis pauciflora,50993,genomic DNA,413,Corylopsis pauciflora,430577-1,Hamamelidaceae,Corylopsis,pauciflora,,Corylopsis pauciflora,SPECIES,Accepted
AB240535.1,Prunus apetala,140662,genomic DNA,414,Prunus apetala,50959532-1,Rosaceae,Prunus,apetala,,Prunus apetala,SPECIES,Accepted
AB244029.1,Elaeagnus formosana,361661,genomic DNA,646,Elaeagnus formosana,323699-1,Elaeagnaceae,Elaeagnus,formosana,,Elaeagnus formosana,SPECIES,Accepted
AB254623.1,Prunus sargentii,97308,genomic DNA,414,Prunus sargentii,730239-1,Rosaceae,Prunus,sargentii,,Prunus sargentii,SPECIES,Accepted
AB254624.1,Prunus sargentii,97308,genomic DNA,414,Prunus sargentii,730239-1,Rosaceae,Prunus,sargentii,,Prunus sargentii,SPECIES,Accepted
AB254625.1,Prunus verecunda,140663,genomic DNA,414,Prunus verecunda,729903-1,Rosaceae,Prunus,leveilleana,,Prunus leveilleana,SPECIES,Synonym
AB254626.1,Prunus verecunda,140663,genomic DNA,414,Prunus verecunda,729903-1,Rosaceae,Prunus,leveilleana,,Prunus leveilleana,SPECIES,Synonym
AB254627.1,Prunus verecunda,140663,genomic DNA,414,Prunus verecunda,729903-1,Rosaceae,Prunus,leveilleana,,Prunus leveilleana,SPECIES,Synonym
AB254628.1,Prunus verecunda,140663,genomic DNA,414,Prunus verecunda,729903-1,Rosaceae,Prunus,leveilleana,,Prunus leveilleana,SPECIES,Synonym
AB254629.1,Prunus speciosa,378228,genomic DNA,414,Prunus speciosa,730291-1,Rosaceae,Prunus,speciosa,,Prunus speciosa,SPECIES,Accepted
AB254630.1,Prunus speciosa,378228,genomic DNA,414,Prunus speciosa,730291-1,Rosaceae,Prunus,speciosa,,Prunus speciosa,SPECIES,Accepted
AB254631.1,Prunus pseudocerasus,151439,genomic DNA,414,Prunus pseudocerasus,730152-1,Rosaceae,Prunus,pseudocerasus,,Prunus pseudocerasus,SPECIES,Accepted
AB254632.1,Prunus campanulata,136465,genomic DNA,414,Prunus campanulata,729533-1,Rosaceae,Prunus,campanulata,,Prunus campanulata,SPECIES,Accepted
AB254633.1,Prunus campanulata,136465,genomic DNA,414,Prunus campanulata,729533-1,Rosaceae,Prunus,campanulata,,Prunus campanulata,SPECIES,Accepted
AB254634.1,Prunus cerasoides,378224,genomic DNA,411,Prunus cerasoides,729572-1,Rosaceae,Prunus,cerasoides,,Prunus cerasoides,SPECIES,Accepted
AB254635.1,Prunus cerasoides,378224,genomic DNA,411,Prunus cerasoides,729572-1,Rosaceae,Prunus,cerasoides,,Prunus cerasoides,SPECIES,Accepted
AB254636.1,Prunus cerasoides,378224,genomic DNA,411,Prunus cerasoides,729572-1,Rosaceae,Prunus,cerasoides,,Prunus cerasoides,SPECIES,Accepted
AB254637.1,Prunus maximowiczii,97306,genomic DNA,413,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254638.1,Prunus maximowiczii,97306,genomic DNA,413,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254639.1,Prunus maximowiczii,97306,genomic DNA,413,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254640.1,Prunus maximowiczii,97306,genomic DNA,414,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254641.1,Prunus maximowiczii,97306,genomic DNA,413,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254642.1,Prunus maximowiczii,97306,genomic DNA,413,Prunus maximowiczii,729953-1,Rosaceae,Prunus,maximowiczii,,Prunus maximowiczii,SPECIES,Accepted
AB254643.1,Prunus zippeliana,232787,genomic DNA,400,Prunus zippeliana,730445-1,Rosaceae,Prunus,zippeliana,,Prunus zippeliana,SPECIES,Accepted
AB254644.1,Prunus laurocerasus,32242,genomic DNA,400,Prunus laurocerasus,324745-2,Rosaceae,Prunus,laurocerasus,,Prunus laurocerasus,SPECIES,Accepted
AB277089.1,Primula sieboldii,59983,genomic DNA,471,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB277090.1,Primula sieboldii,59983,genomic DNA,472,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB280744.1,Glycyrrhiza uralensis,74613,genomic DNA,606,Glycyrrhiza uralensis,496974-1,Fabaceae,Glycyrrhiza,uralensis,,Glycyrrhiza uralensis,SPECIES,Accepted
AB280745.1,Glycyrrhiza glabra,49827,genomic DNA,577,Glycyrrhiza glabra,496941-1,Fabaceae,Glycyrrhiza,glabra,,Glycyrrhiza glabra,SPECIES,Accepted
AB331275.1,Potamogeton crispus,55318,genomic DNA,599,Potamogeton crispus,323116-2,Potamogetonaceae,Potamogeton,crispus,,Potamogeton crispus,SPECIES,Accepted
AB331276.1,Najas indica,453239,genomic DNA,603,Najas indica,603020-1,Hydrocharitaceae,Najas,indica,,Najas indica,SPECIES,Accepted
AB331280.1,Saururus chinensis,54806,genomic DNA,619,Saururus chinensis,684080-1,Saururaceae,Saururus,chinensis,,Saururus chinensis,SPECIES,Accepted
AB331281.1,Houttuynia cordata,16752,genomic DNA,586,Houttuynia cordata,927252-1,Saururaceae,Houttuynia,cordata,,Houttuynia cordata,SPECIES,Accepted
AB331284.1,Chloranthus oldhamii,92926,genomic DNA,512,Chloranthus oldhamii,167817-1,Chloranthaceae,Chloranthus,oldhamii,,Chloranthus oldhamii,SPECIES,Accepted
AB331285.1,Piper kadsura,54803,genomic DNA,643,Piper kadsura,681817-1,Piperaceae,Piper,kadsura,,Piper kadsura,SPECIES,Accepted
AB331286.1,Grevillea robusta,105748,genomic DNA,609,Grevillea robusta,50798-3,Proteaceae,Grevillea,robusta,,Grevillea robusta,SPECIES,Accepted
AB331291.1,Sarcandra glabra,92927,genomic DNA,516,Sarcandra glabra,167899-1,Chloranthaceae,Sarcandra,glabra,,Sarcandra glabra,SPECIES,Accepted
AB331298.1,Buxus microphylla,153571,genomic DNA,602,Buxus microphylla,340303-1,Buxaceae,Buxus,microphylla,,Buxus microphylla,SPECIES,Accepted
AB331306.1,Dioscorea alata,55571,genomic DNA,544,Dioscorea alata,317625-1,Dioscoreaceae,Dioscorea,alata,,Dioscorea alata,SPECIES,Accepted
AB331308.1,Tofieldia calyculata,85290,genomic DNA,616,Tofieldia calyculata,542255-1,Tofieldiaceae,Tofieldia,calyculata,,Tofieldia calyculata,SPECIES,Accepted
AB381925.1,Primula sieboldii,59983,genomic DNA,382,Primula sieboldii,702609-1,Primulaceae,Primula,sieboldii,,Primula sieboldii,SPECIES,Accepted
AB474961.1,Anisacanthus brasiliensis,478885,genomic DNA,399,Anisacanthus brasiliensis,13930-2,Acanthaceae,Anisacanthus,brasiliensis,,Anisacanthus brasiliensis,SPECIES,Accepted
AB523510.1,Isodon inflexus,550457,genomic DNA,377,Isodon inflexus,448582-1,Lamiaceae,Isodon,inflexus,,Isodon inflexus,SPECIES,Accepted
AB523511.1,Isodon inflexus,550457,genomic DNA,373,Isodon inflexus,448582-1,Lamiaceae,Isodon,inflexus,,Isodon inflexus,SPECIES,Accepted
AB523512.1,Isodon japonicus,425908,genomic DNA,373,Isodon japonicus,448584-1,Lamiaceae,Isodon,japonicus,,Isodon japonicus,SPECIES,Accepted
AB523513.1,Isodon japonicus,425908,genomic DNA,373,Isodon japonicus,448584-1,Lamiaceae,Isodon,japonicus,,Isodon japonicus,SPECIES,Accepted
AB523514.1,Isodon trichocarpus,425909,genomic DNA,377,Isodon trichocarpus,448622-1,Lamiaceae,Isodon,trichocarpus,,Isodon trichocarpus,SPECIES,Accepted
AB523515.1,Isodon trichocarpus,425909,genomic DNA,373,Isodon trichocarpus,448622-1,Lamiaceae,Isodon,trichocarpus,,Isodon trichocarpus,SPECIES,Accepted
AB523516.1,Isodon effusus,680379,genomic DNA,377,Isodon effusus,448572-1,Lamiaceae,Isodon,effusus,,Isodon effusus,SPECIES,Accepted
AB523517.1,Isodon effusus,680379,genomic DNA,373,Isodon effusus,448572-1,Lamiaceae,Isodon,effusus,,Isodon effusus,SPECIES,Accepted
AB523518.1,Isodon longitubus,550456,genomic DNA,366,Isodon longitubus,448590-1,Lamiaceae,Isodon,longitubus,,Isodon longitubus,SPECIES,Accepted
AB523519.1,Isodon longitubus,550456,genomic DNA,373,Isodon longitubus,448590-1,Lamiaceae,Isodon,longitubus,,Isodon longitubus,SPECIES,Accepted
AB523520.1,Isodon umbrosus,680380,genomic DNA,377,Isodon umbrosus,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Accepted
AB523521.1,Isodon umbrosus,680380,genomic DNA,372,Isodon umbrosus,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Accepted
AB523522.1,Isodon umbrosus var. excisinflexus,680381,genomic DNA,377,Isodon umbrosus var. excisinflexus,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Synonym
AB523523.1,Isodon umbrosus var. excisinflexus,680381,genomic DNA,377,Isodon umbrosus var. excisinflexus,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Synonym
AB523526.1,Isodon umbrosus var. leucanthus,680383,genomic DNA,373,Isodon umbrosus var. leucanthus,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Synonym
AB523527.1,Isodon umbrosus var. hakusanensis,680384,genomic DNA,377,Isodon umbrosus var. hakusanensis,448623-1,Lamiaceae,Isodon,umbrosus,,Isodon umbrosus,SPECIES,Synonym
AB523528.1,Isodon shikokianus,425910,genomic DNA,373,Isodon shikokianus,448615-1,Lamiaceae,Isodon,shikokianus,,Isodon shikokianus,SPECIES,Accepted
AB523529.1,Isodon shikokianus var. intermedius,550458,genomic DNA,366,Isodon shikokianus var. intermedius,50985594-1,Lamiaceae,Isodon,shikokianus,intermedius,Isodon shikokianus var. intermedius,VARIETY,Accepted
AB523530.1,Isodon shikokianus var. intermedius,550458,genomic DNA,373,Isodon shikokianus var. intermedius,50985594-1,Lamiaceae,Isodon,shikokianus,intermedius,Isodon shikokianus var. intermedius,VARIETY,Accepted
AB523531.1,Isodon shikokianus var. occidentalis,425911,genomic DNA,373,Isodon shikokianus var. occidentalis,50985592-1,Lamiaceae,Isodon,shikokianus,occidentalis,Isodon shikokianus var. occidentalis,VARIETY,Accepted
