Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
NC_005973.1,genomic DNA,134494,Oryza rufipogon,410115-1,Poaceae,Oryza,rufipogon,,False,Oryza nivara,4536
NC_006050.1,genomic DNA,159930,Nymphaea alba,171158-2,Nymphaeaceae,Nymphaea,alba,,False,Nymphaea alba,34301
NC_006290.1,genomic DNA,156318,Panax ginseng,91472-1,Araliaceae,Panax,ginseng,,False,Panax ginseng,4054
NC_006861.1,genomic DNA,154373,Huperzia lucidula,124855-2,Lycopodiaceae,Huperzia,lucidula,,False,Huperzia lucidula,37429
NC_007144.1,genomic DNA,155293,Cucumis sativus,292296-1,Cucurbitaceae,Cucumis,sativus,,False,Cucumis sativus,3659
NC_007407.1,genomic DNA,153821,Acorus calamus,84009-1,Acoraceae,Acorus,calamus,,False,Acorus calamus,4465
NC_007499.1,genomic DNA,148964,Phalaenopsis aphrodite subsp. formosana,1019585-1,Orchidaceae,Phalaenopsis,aphrodite,formosana,False,Phalaenopsis aphrodite subsp. formosana,308872
NC_007500.1,genomic DNA,155941,Nicotiana sylvestris,169850-2,Solanaceae,Nicotiana,sylvestris,,False,Nicotiana sylvestris,4096
NC_007578.1,genomic DNA,152765,Lactuca sativa,228239-1,Asteraceae,Lactuca,sativa,,False,Lactuca sativa,4236
NC_007602.1,genomic DNA,155745,Nicotiana tomentosiformis,169862-2,Solanaceae,Nicotiana,tomentosiformis,,False,Nicotiana tomentosiformis,4098
NC_007898.3,genomic DNA,155461,Solanum lycopersicum,316947-2,Solanaceae,Solanum,lycopersicum,,False,Solanum lycopersicum,4081
NC_007942.1,genomic DNA,152218,Glycine max,60450240-2,Fabaceae,Glycine,max,,False,Glycine max,3847
NC_007943.1,genomic DNA,155371,Solanum bulbocastanum,818528-1,Solanaceae,Solanum,bulbocastanum,,False,Solanum bulbocastanum,147425
NC_007944.1,genomic DNA,160301,Gossypium hirsutum,30042843-2,Malvaceae,Gossypium,hirsutum,,False,Gossypium hirsutum,3635
NC_007957.1,genomic DNA,160928,Vitis vinifera,30478388-2,Vitaceae,Vitis,vinifera,,False,Vitis vinifera,29760
NC_007977.1,genomic DNA,151104,Helianthus annuus,119003-2,Asteraceae,Helianthus,annuus,,False,Helianthus annuus,4232
NC_008096.2,genomic DNA,155296,Solanum tuberosum,821337-1,Solanaceae,Solanum,tuberosum,,False,Solanum tuberosum,4113
NC_008115.1,genomic DNA,160286,Eucalyptus globulus subsp. globulus,77168267-1,Myrtaceae,Eucalyptus,globulus,globulus,False,Eucalyptus globulus subsp. globulus,71271
NC_008235.1,genomic DNA,156505,Populus alba,776573-1,Salicaceae,Populus,alba,,False,Populus alba,43335
NC_008325.1,genomic DNA,155911,Daucus carota,841063-1,Apiaceae,Daucus,carota,,False,Daucus carota,4039
NC_008326.1,genomic DNA,159886,Liriodendron tulipifera,30197364-2,Magnoliaceae,Liriodendron,tulipifera,,False,Liriodendron tulipifera,3415
NC_008334.1,genomic DNA,160129,Citrus × aurantium,59600-2,Rutaceae,Citrus,aurantium,,False,Citrus sinensis,2711
NC_008336.1,genomic DNA,156599,Nandina domestica,107544-1,Berberidaceae,Nandina,domestica,,False,Nandina domestica,41776
NC_008359.1,genomic DNA,158484,Morus indica,854652-1,Moraceae,Morus,indica,,False,Morus indica,248361
NC_008407.1,genomic DNA,165121,Jasminum nudiflorum,609662-1,Oleaceae,Jasminum,nudiflorum,,False,Jasminum nudiflorum,126431
NC_008454.1,genomic DNA,217942,Pelargonium × hybridum,376335-1,Geraniaceae,Pelargonium,hybridum,,False,Pelargonium x hortorum,4031
NC_008456.1,genomic DNA,160604,Drimys granadensis,84100-2,Winteraceae,Drimys,granadensis,,False,Drimys granadensis,224735
NC_008457.1,genomic DNA,160624,Piper cenocladum,680851-1,Piperaceae,Piper,cenocladum,,False,Piper cenocladum,398741
NC_008535.1,genomic DNA,155189,Coffea arabica,747038-1,Rubiaceae,Coffea,arabica,,False,Coffea arabica,13443
NC_008641.1,genomic DNA,160317,Gossypium barbadense,559677-1,Malvaceae,Gossypium,barbadense,,False,Gossypium barbadense,3634
NC_008788.1,genomic DNA,160866,Nuphar advena,30043701-2,Nymphaeaceae,Nuphar,advena,,False,Nuphar advena,77108
NC_008796.1,genomic DNA,155129,Ranunculus macranthus,713149-1,Ranunculaceae,Ranunculus,macranthus,,False,Ranunculus macranthus,334596
NC_008829.1,genomic DNA,153901,Angiopteris evecta,17021890-1,Marattiaceae,Angiopteris,evecta,,False,Angiopteris evecta,13825
NC_009143.1,genomic DNA,157033,Populus tristis,776895-1,Salicaceae,Populus,tristis,,False,Populus trichocarpa,3694
NC_009259.1,genomic DNA,150285,Phaseolus vulgaris,514191-1,Fabaceae,Phaseolus,vulgaris,,False,Phaseolus vulgaris,3885
NC_009265.1,genomic DNA,154168,Aethionema grandiflorum,277193-1,Brassicaceae,Aethionema,grandiflorum,,False,Aethionema cordifolium,434059
NC_009266.1,genomic DNA,154243,Aethionema grandiflorum,277193-1,Brassicaceae,Aethionema,grandiflorum,,False,Aethionema grandiflorum,72657
NC_009267.1,genomic DNA,154737,Olimarabidopsis pumila,1009840-1,Brassicaceae,Olimarabidopsis,pumila,,False,Olimarabidopsis pumila,74718
NC_009269.1,genomic DNA,154532,Barbarea verna,1109261-2,Brassicaceae,Barbarea,verna,,False,Barbarea verna,50458
NC_009270.1,genomic DNA,154490,Capsella bursa-pastoris,30092589-2,Brassicaceae,Capsella,bursa-pastoris,,False,Capsella bursa-pastoris,3719
NC_009271.1,genomic DNA,155199,Crucihimalaya wallichii,1009837-1,Brassicaceae,Crucihimalaya,wallichii,,False,Crucihimalaya wallichii,78192
NC_009273.1,genomic DNA,154743,Lepidium virginicum,138164-2,Brassicaceae,Lepidium,virginicum,,False,Lepidium virginicum,59292
NC_009274.1,genomic DNA,152659,Lobularia maritima,1085072-2,Brassicaceae,Lobularia,maritima,,False,Lobularia maritima,226051
NC_009275.1,genomic DNA,155105,Nasturtium officinale,287534-1,Brassicaceae,Nasturtium,officinale,,False,Nasturtium officinale,65948
NC_009598.1,genomic DNA,157772,Chloranthus spicatus,167824-1,Chloranthaceae,Chloranthus,spicatus,,False,Chloranthus spicatus,13006
NC_009599.1,genomic DNA,159010,Buxus microphylla,340303-1,Buxaceae,Buxus,microphylla,,False,Buxus microphylla,153571
NC_009600.1,genomic DNA,148553,Illicium parvifolium subsp. oligandrum,1014365-1,Schisandraceae,Illicium,parvifolium,oligandrum,False,Illicium oligandrum,145286
NC_009601.1,genomic DNA,152609,Dioscorea elephantipes,317936-1,Dioscoreaceae,Dioscorea,elephantipes,,False,Dioscorea elephantipes,145284
NC_009618.1,genomic DNA,163403,Cycas taitungensis,978052-1,Cycadaceae,Cycas,taitungensis,,False,Cycas taitungensis,54799
NC_009765.1,genomic DNA,86744,Cuscuta gronovii,72854-2,Convolvulaceae,Cuscuta,gronovii,,False,Cuscuta gronovii,35886
NC_009808.1,genomic DNA,162046,Ipomoea purpurea,30043043-2,Convolvulaceae,Ipomoea,purpurea,,False,Ipomoea purpurea,4121
NC_009949.1,genomic DNA,85286,Cuscuta obtusiflora,72898-2,Convolvulaceae,Cuscuta,obtusiflora,,False,Cuscuta obtusiflora,437280
NC_009950.1,genomic DNA,135282,Lolium perenne,407493-1,Poaceae,Lolium,perenne,,False,Lolium perenne,4522
NC_009962.1,genomic DNA,156252,Ceratophyllum demersum,30006047-2,Ceratophyllaceae,Ceratophyllum,demersum,,False,Ceratophyllum demersum,4428
NC_009963.1,genomic DNA,125373,Cuscuta exaltata,72831-2,Convolvulaceae,Cuscuta,exaltata,,False,Cuscuta exaltata,476139
NC_010093.1,genomic DNA,153819,Acorus calamus var. americanus,60458986-2,Acoraceae,Acorus,calamus,americanus,False,Acorus americanus,263995
NC_010109.1,genomic DNA,165955,Lemna minor,526194-1,Araceae,Lemna,minor,,False,Lemna minor,4472
NC_010323.1,genomic DNA,160100,Carica papaya,30011248-2,Caricaceae,Carica,papaya,,False,Carica papaya,3649
NC_010358.2,genomic DNA,165061,Oenothera argillicola,172738-2,Onagraceae,Oenothera,argillicola,,False,Oenothera argillicola,3940
NC_010360.2,genomic DNA,165359,Oenothera glazioviana,317809-2,Onagraceae,Oenothera,glazioviana,,False,Oenothera glazioviana,482428
NC_010361.1,genomic DNA,164807,Oenothera biennis,172755-2,Onagraceae,Oenothera,biennis,,False,Oenothera biennis,3942
NC_010362.1,genomic DNA,163365,Oenothera parviflora,294779-2,Onagraceae,Oenothera,parviflora,,False,Oenothera parviflora,482429
NC_010433.1,genomic DNA,161453,Manihot esculenta,351790-1,Euphorbiaceae,Manihot,esculenta,,False,Manihot esculenta,3983
NC_010442.1,genomic DNA,162321,Trachelium caeruleum,145511-1,Campanulaceae,Trachelium,caeruleum,,False,Trachelium caeruleum,28494
NC_010548.1,genomic DNA,131810,Cryptomeria japonica,261870-1,Cupressaceae,Cryptomeria,japonica,,False,Cryptomeria japonica,3369
NC_010601.1,genomic DNA,151762,Guizotia abyssinica,210735-1,Asteraceae,Guizotia,abyssinica,,False,Guizotia abyssinica,4230
NC_010654.1,genomic DNA,119726,Welwitschia mirabilis,383591-1,Welwitschiaceae,Welwitschia,mirabilis,,False,Welwitschia mirabilis,3377
NC_010776.1,genomic DNA,159599,Fagopyrum esculentum,694526-1,Polygonaceae,Fagopyrum,esculentum,,False,Fagopyrum esculentum subsp. ancestrale,180217
NC_011032.1,genomic DNA,135199,Brachypodium distachyon,393098-1,Poaceae,Brachypodium,distachyon,,False,Brachypodium distachyon,15368
NC_011152.3,genomic DNA,120176,Picea sitchensis,676986-1,Pinaceae,Picea,sitchensis,,False,Picea sitchensis,3332
NC_011153.4,genomic DNA,120438,Pinus contorta,30000492-2,Pinaceae,Pinus,contorta,,False,Pinus contorta,3339
NC_011154.4,genomic DNA,117618,Pinus gerardiana,262962-1,Pinaceae,Pinus,gerardiana,,False,Pinus gerardiana,71632
NC_011155.4,genomic DNA,116989,Pinus krempfii,677058-1,Pinaceae,Pinus,krempfii,,False,Pinus krempfii,3342
NC_011156.4,genomic DNA,117239,Pinus lambertiana,197001-2,Pinaceae,Pinus,lambertiana,,False,Pinus lambertiana,3343
NC_011158.4,genomic DNA,116479,Pinus monophylla,197026-2,Pinaceae,Pinus,monophylla,,False,Pinus monophylla,151562
NC_011159.4,genomic DNA,116834,Pinus nelsonii,197040-2,Pinaceae,Pinus,nelsonii,,False,Pinus nelsonii,71643
NC_011163.1,genomic DNA,125319,Cicer arietinum,486336-1,Fabaceae,Cicer,arietinum,,False,Cicer arietinum,3827
NC_011713.2,genomic DNA,136048,Lolium arundinaceum,973267-1,Poaceae,Lolium,arundinaceum,,False,Lolium arundinaceum,4606
NC_011828.1,genomic DNA,144763,Trifolium subterraneum,523761-1,Fabaceae,Trifolium,subterraneum,,False,Trifolium subterraneum,3900
NC_011930.1,genomic DNA,117720,Keteleeria davidiana,262401-1,Pinaceae,Keteleeria,davidiana,,False,Keteleeria davidiana,3324
NC_011942.1,genomic DNA,114914,Gnetum parvifolium,383557-1,Gnetaceae,Gnetum,parvifolium,,False,Gnetum parvifolium,33153
NC_011954.1,genomic DNA,109518,Ephedra equisetina,928049-1,Ephedraceae,Ephedra,equisetina,,False,Ephedra equisetina,173280
NC_012224.1,genomic DNA,163856,Jatropha curcas,131462-2,Euphorbiaceae,Jatropha,curcas,,False,Jatropha curcas,180498
NC_012615.1,genomic DNA,159924,Megaleranthis saniculifolia,711575-1,Ranunculaceae,Megaleranthis,saniculifolia,,False,Megaleranthis saniculifolia,93213
NC_012818.1,genomic DNA,156661,Alsophila spinulosa,17533090-1,Cyatheaceae,Alsophila,spinulosa,,False,Alsophila spinulosa,204586
NC_012927.1,genomic DNA,139350,Bambusa oldhamii,392445-1,Poaceae,Bambusa,oldhamii,,False,Bambusa oldhamii,58923
NC_013086.1,genomic DNA,143780,Selaginella moellendorffii,60457176-2,Selaginellaceae,Selaginella,moellendorffii,,False,Selaginella moellendorffii,88036
NC_013088.1,genomic DNA,139394,Dendrocalamus latiflorus,397888-1,Poaceae,Dendrocalamus,latiflorus,,False,Dendrocalamus latiflorus,257763
NC_013273.1,genomic DNA,140745,Coix lacryma-jobi,30100521-2,Poaceae,Coix,lacryma-jobi,,False,Coix lacryma-jobi,4505
NC_013553.1,genomic DNA,152803,Parthenium argentatum,236497-1,Asteraceae,Parthenium,argentatum,,False,Parthenium argentatum,35935
NC_013707.2,genomic DNA,155888,Olea europaea,610675-1,Oleaceae,Olea,europaea,,False,Olea europaea,4146
NC_013823.1,genomic DNA,161572,Typha latifolia,836870-1,Typhaceae,Typha,latifolia,,False,Typha latifolia,4733
NC_013843.1,genomic DNA,151271,Vigna radiata,525492-1,Fabaceae,Vigna,radiata,,False,Vigna radiata,157791
NC_013991.2,genomic DNA,158462,Phoenix dactylifera,668912-1,Arecaceae,Phoenix,dactylifera,,False,Phoenix dactylifera,42345
NC_014057.1,genomic DNA,122169,Lathyrus oleraceus,501912-1,Fabaceae,Lathyrus,oleraceus,,False,Pisum sativum,3888
NC_014062.1,genomic DNA,138412,Anomochloa marantoidea,388835-1,Poaceae,Anomochloa,marantoidea,,False,Anomochloa marantoidea,38684
NC_014063.1,genomic DNA,121020,Lathyrus sativus,501990-1,Fabaceae,Lathyrus,sativus,,False,Lathyrus sativus,3860
NC_014348.1,genomic DNA,152362,Pteridium aquilinum,17210060-1,Dennstaedtiaceae,Pteridium,aquilinum,,False,Pteridium aquilinum subsp. aquilinum,104588
NC_014569.1,genomic DNA,130812,Erodium texanum,372456-1,Geraniaceae,Erodium,texanum,,False,Erodium texanum,28960
NC_014570.1,genomic DNA,160137,Eucalyptus grandis,592976-1,Myrtaceae,Eucalyptus,grandis,,False,Eucalyptus grandis,71139
NC_014573.1,genomic DNA,155794,Geranium palmatum,322505-2,Geraniaceae,Geranium,palmatum,,False,Geranium palmatum,326026
NC_014575.1,genomic DNA,119299,Cedrus deodara,676701-1,Pinaceae,Cedrus,deodara,,False,Cedrus deodara,3322
NC_014582.1,genomic DNA,128787,Monsonia speciosa,374558-1,Geraniaceae,Monsonia,speciosa,,False,Monsonia speciosa,163694
NC_014589.1,genomic DNA,107122,Cathaya argyrophylla,676696-1,Pinaceae,Cathaya,argyrophylla,,False,Cathaya argyrophylla,64686
NC_014592.1,genomic DNA,155770,Hemionitis lindheimeri,77183048-1,Pteridaceae,Hemionitis,lindheimeri,,False,Myriopteris lindheimeri,531291
NC_014674.1,genomic DNA,160799,Castanea mollissima,295338-1,Fagaceae,Castanea,mollissima,,False,Castanea mollissima,60419
NC_014675.1,genomic DNA,145303,Isoetes flaccida,130527-2,Isoetaceae,Isoetes,flaccida,,False,Isoetes flaccida,49763
NC_014676.2,genomic DNA,160619,Theobroma cacao,320783-2,Malvaceae,Theobroma,cacao,,False,Theobroma cacao,3641
NC_014697.1,genomic DNA,157790,Prunus persica,1212858-2,Rosaceae,Prunus,persica,,False,Prunus persica,3760
NC_014699.1,genomic DNA,133309,Equisetum arvense,300073-2,Equisetaceae,Equisetum,arvense,,False,Equisetum arvense,3258
NC_014807.1,genomic DNA,159202,Corynocarpus laevigatus,272100-1,Corynocarpaceae,Corynocarpus,laevigatus,,False,Corynocarpus laevigatus,4312
NC_014874.1,genomic DNA,59190,Rhizanthella gardneri,655670-1,Orchidaceae,Rhizanthella,gardneri,,False,Rhizanthella gardneri,112168
NC_015083.1,genomic DNA,116935,Erodium carvifolium,372198-1,Geraniaceae,Erodium,carvifolium,,False,Erodium carvifolium,337360
NC_015113.1,genomic DNA,154719,Anthriscus cerefolium,837913-1,Apiaceae,Anthriscus,cerefolium,,False,Anthriscus cerefolium,40888
NC_015139.1,genomic DNA,153482,Brassica rapa,279485-1,Brassicaceae,Brassica,rapa,,False,Brassica rapa subsp. pekinensis,51351
NC_015204.1,genomic DNA,160264,Gossypium thurberi,559844-1,Malvaceae,Gossypium,thurberi,,False,Gossypium thurberi,34273
NC_015308.1,genomic DNA,161191,Hevea brasiliensis,349913-1,Euphorbiaceae,Hevea,brasiliensis,,False,Hevea brasiliensis,3981
NC_015401.1,genomic DNA,155875,Olea europaea subsp. europaea,77172513-1,Oleaceae,Olea,europaea,europaea,False,Olea europaea subsp. europaea,158383
NC_015604.1,genomic DNA,155862,Olea europaea subsp. cuspidata,77190043-1,Oleaceae,Olea,europaea,cuspidata,False,Olea europaea subsp. cuspidata,129566
NC_015605.1,genomic DNA,163206,Nelumbo lutea,605419-1,Nelumbonaceae,Nelumbo,lutea,,False,Nelumbo lutea,4431
NC_015608.1,genomic DNA,155942,Olea woodiana subsp. woodiana,77169774-1,Oleaceae,Olea,woodiana,woodiana,False,Olea woodiana subsp. woodiana,497767
NC_015621.1,genomic DNA,150698,Ageratina adenophora,6811-2,Asteraceae,Ageratina,adenophora,,False,Ageratina adenophora,176616
NC_015623.1,genomic DNA,155896,Olea europaea subsp. maroccana,1019529-1,Oleaceae,Olea,europaea,maroccana,False,Olea europaea subsp. maroccana,158385
NC_015803.1,genomic DNA,139668,Indocalamus longiauritus,405862-1,Poaceae,Indocalamus,longiauritus,,False,Indocalamus longiauritus,548148
NC_015804.1,genomic DNA,158355,Crithmum maritimum,840827-1,Apiaceae,Crithmum,maritimum,,False,Crithmum maritimum,40916
NC_015817.1,genomic DNA,139679,Phyllostachys edulis,415998-1,Poaceae,Phyllostachys,edulis,,False,Phyllostachys edulis,38705
NC_015820.1,genomic DNA,139697,Acidosasa purpurea,943489-1,Poaceae,Acidosasa,purpurea,,False,Acidosasa purpurea,145980
NC_015821.1,genomic DNA,152890,Petroselinum crispum,60442790-2,Apiaceae,Petroselinum,crispum,,False,Petroselinum crispum,4043
NC_015826.1,genomic DNA,139839,Phyllostachys nigra var. henonis,77189090-1,Poaceae,Phyllostachys,nigra,henonis,False,Phyllostachys nigra var. henonis,886359
NC_015830.1,genomic DNA,139493,Bambusa emeiensis,392317-1,Poaceae,Bambusa,emeiensis,,False,Bambusa emeiensis,280850
NC_015831.1,genomic DNA,139467,Ferrocalamus rimosivaginus,904185-1,Poaceae,Ferrocalamus,rimosivaginus,,False,Ferrocalamus rimosivaginus,591214
NC_015891.1,genomic DNA,168788,Spirodela polyrhiza,526250-1,Araceae,Spirodela,polyrhiza,,False,Spirodela polyrhiza,29656
NC_015892.1,genomic DNA,159667,Magnolia kwangsiensis,60433085-2,Magnoliaceae,Magnolia,kwangsiensis,,False,Magnolia kwangsiensis,86722
NC_015894.1,genomic DNA,169337,Wolffiella lingulata,269071-2,Araceae,Wolffiella,lingulata,,False,Wolffiella lingulata,161126
NC_015899.1,genomic DNA,168704,Wolffia australiana,148868-3,Araceae,Wolffia,australiana,,False,Wolffia australiana,161112
NC_015996.1,genomic DNA,159922,Pyrus pyrifolia,731158-1,Rosaceae,Pyrus,pyrifolia,,False,Pyrus pyrifolia,3767
NC_016058.1,genomic DNA,122474,Larix decidua,262420-1,Pinaceae,Larix,decidua,,False,Larix decidua,71402
NC_016063.1,genomic DNA,136196,Cephalotaxus harringtonia,261818-1,Taxaceae,Cephalotaxus,harringtonia,,False,Cephalotaxus wilsoniana,50179
NC_016064.1,genomic DNA,122513,Pseudotsuga sinensis var. sinensis,77168988-1,Pinaceae,Pseudotsuga,sinensis,sinensis,False,Pseudotsuga sinensis var. wilsoniana,71408
NC_016065.1,genomic DNA,132588,Taiwania cryptomerioides,263753-1,Cupressaceae,Taiwania,cryptomerioides,,False,Taiwania cryptomerioides,50187
NC_016069.1,genomic DNA,124168,Picea morrisonicola,676975-1,Pinaceae,Picea,morrisonicola,,False,Picea morrisonicola,93926
NC_016430.1,genomic DNA,156768,Eleutherococcus senticosus,90431-1,Araliaceae,Eleutherococcus,senticosus,,False,Eleutherococcus senticosus,82096
NC_016433.2,genomic DNA,153324,Sesamum indicum,675971-1,Pedaliaceae,Sesamum,indicum,,False,Sesamum indicum,4182
NC_016468.1,genomic DNA,153493,Dorcoceras hygrometrica,380668-1,Gesneriaceae,Dorcoceras,hygrometrica,,False,Dorcoceras hygrometricum,472368
NC_016471.1,genomic DNA,92060,Neottia nidus-avis,645356-1,Orchidaceae,Neottia,nidus-avis,,False,Neottia nidus-avis,48534
NC_016668.1,genomic DNA,160161,Gossypium raimondii,112750-2,Malvaceae,Gossypium,raimondii,,False,Gossypium raimondii,29730
NC_016670.1,genomic DNA,160378,Gossypium darwinii,112670-2,Malvaceae,Gossypium,darwinii,,False,Gossypium darwinii,34276
NC_016677.1,genomic DNA,136551,Leersia tisserantii,406986-1,Poaceae,Leersia,tisserantii,,False,Leersia tisserantii,196901
NC_016690.1,genomic DNA,160433,Gossypium hirsutum,30042843-2,Malvaceae,Gossypium,hirsutum,,False,Gossypium tomentosum,34277
NC_016692.1,genomic DNA,160315,Gossypium herbaceum subsp. africanum,953446-1,Malvaceae,Gossypium,herbaceum,africanum,False,Gossypium herbaceum subsp. africanum,76056
NC_016699.1,genomic DNA,139704,Phyllostachys propinqua,416039-1,Poaceae,Phyllostachys,propinqua,,False,Phyllostachys propinqua,524874
NC_016708.2,genomic DNA,152968,Pongamia pinnata,515679-1,Fabaceae,Pongamia,pinnata,,False,Pongamia pinnata,56065
NC_016711.1,genomic DNA,160313,Gossypium mustelinum,112728-2,Malvaceae,Gossypium,mustelinum,,False,Gossypium mustelinum,34275
NC_016712.1,genomic DNA,160230,Gossypium arboreum,559664-1,Malvaceae,Gossypium,arboreum,,False,Gossypium arboreum,29729
NC_016718.1,genomic DNA,136303,Rhynchoryza subulata,220021-2,Poaceae,Rhynchoryza,subulata,,False,Rhynchoryza subulata,110453
NC_016727.1,genomic DNA,151583,Silene vulgaris,158668-1,Caryophyllaceae,Silene,vulgaris,,False,Silene vulgaris,42043
NC_016728.1,genomic DNA,151639,Silene noctiflora,304203-2,Caryophyllaceae,Silene,noctiflora,,False,Silene noctiflora,39899
NC_016734.1,genomic DNA,152860,Brassica napus,279419-1,Brassicaceae,Brassica,napus,,False,Brassica napus,3708
NC_016736.1,genomic DNA,163161,Ricinus communis,355498-1,Euphorbiaceae,Ricinus,communis,,False,Ricinus communis,3988
NC_016753.1,genomic DNA,162424,Colocasia esculenta,1170772-2,Araceae,Colocasia,esculenta,,False,Colocasia esculenta,4460
NC_016921.1,genomic DNA,156612,Pentactina rupicola,727190-1,Rosaceae,Pentactina,rupicola,,False,Pentactina rupicola,519533
NC_016927.1,genomic DNA,134558,Oryza rufipogon,410115-1,Poaceae,Oryza,rufipogon,,False,Oryza meridionalis,40149
NC_016986.1,genomic DNA,156988,Ginkgo biloba,262125-1,Ginkgoaceae,Ginkgo,biloba,,False,Ginkgo biloba,3311
NC_017006.1,genomic DNA,146221,Mankyua chejuensis,20003351-1,Ophioglossaceae,Mankyua,chejuensis,,False,Mankyua chejuensis,996148
NC_017602.1,genomic DNA,156973,Elaeis guineensis,666802-1,Arecaceae,Elaeis,guineensis,,False,Elaeis guineensis,51953
NC_017609.1,genomic DNA,148959,Phalaenopsis equestris,650531-1,Orchidaceae,Phalaenopsis,equestris,,False,Phalaenopsis equestris,78828
NC_018051.1,genomic DNA,152415,Vigna unguiculata,1127257-2,Fabaceae,Vigna,unguiculata,,False,Vigna unguiculata,3917
NC_018109.1,genomic DNA,159205,Gossypium incanum,559735-1,Malvaceae,Gossypium,incanum,,False,Gossypium incanum,47637
NC_018110.1,genomic DNA,159539,Gossypium somalense,559830-1,Malvaceae,Gossypium,somalense,,False,Gossypium somalense,47635
NC_018111.1,genomic DNA,159467,Gossypium anomalum subsp. senarense,953445-1,Malvaceae,Gossypium,anomalum,senarense,False,Gossypium capitis-viridis,47634
NC_018112.1,genomic DNA,159572,Gossypium areysianum,559666-1,Malvaceae,Gossypium,areysianum,,False,Gossypium areysianum,47636
NC_018113.1,genomic DNA,159849,Gossypium robinsonii,559811-1,Malvaceae,Gossypium,robinsonii,,False,Gossypium robinsonii,3636
NC_018114.1,genomic DNA,143164,Erycina pusilla,1021256-1,Orchidaceae,Erycina,pusilla,,False,Erycina pusilla,154679
NC_018117.1,genomic DNA,155871,Datura stramonium,314738-2,Solanaceae,Datura,stramonium,,False,Datura stramonium,4076
NC_018357.1,genomic DNA,160053,Magnolia denudata,554678-1,Magnoliaceae,Magnolia,denudata,,False,Magnolia denudata,85856
NC_018541.1,genomic DNA,156700,Elodea canadensis,90075-2,Hydrocharitaceae,Elodea,canadensis,,False,Elodea canadensis,100364
NC_018552.1,genomic DNA,156781,Capsicum annuum,316944-2,Solanaceae,Capsicum,annuum,,False,Capsicum annuum,4072
NC_018565.1,genomic DNA,154896,Pachycladon enysii,20010440-1,Brassicaceae,Pachycladon,enysii,,False,Pachycladon enysii,414717
NC_018766.1,genomic DNA,129788,Fragaria vesca subsp. bracteata,105486-2,Rosaceae,Fragaria,vesca,bracteata,False,Fragaria vesca subsp. bracteata,157670
NC_018767.1,genomic DNA,129805,Fragaria mandshurica,70029135-1,Rosaceae,Fragaria,mandshurica,,False,Fragaria mandshurica,538574
NC_019601.1,genomic DNA,155603,Fragaria chiloensis,724988-1,Rosaceae,Fragaria,chiloensis,,False,Fragaria chiloensis,101007
NC_019602.1,genomic DNA,155621,Fragaria virginiana,318974-2,Rosaceae,Fragaria,virginiana,,True,Fragaria virginiana,101015
